
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
1	-55.11911	-54.65498	-55.11626	-0.7102901	-0.7102901	-0.5064123
1	-20.0825	-19.62035	-20.08227	-0.551011	0.7107427	-0.5046203
1	-19.83365	-19.36952	-19.83146	-0.5494636	0.458496	-0.5028231
1	-19.58381	-19.12462	-19.58657	-0.54669	0.3819617	-0.5010206
1	-19.3399	-18.88564	-19.34759	-0.5454491	0.4789072	-0.4992126
1	-19.0871	-18.62396	-19.08591	-0.5436537	0.3398606	-0.497399
1	-18.83923	-18.37807	-18.84002	-0.5437995	0.5105569	-0.4955798
1	-18.58347	-18.1223	-18.58427	-0.5420771	0.4688604	-0.4937547
1	-18.33561	-17.87049	-18.33246	-0.5401939	0.3951701	-0.4919236
1	-18.07688	-17.61177	-18.07374	-0.5386027	0.3891121	-0.4900863
1	-17.82309	-17.36588	-17.82786	-0.5369677	0.4792624	-0.4882427
1	-17.57128	-17.10123	-17.56321	-0.5368218	0.3410502	-0.4863926
1	-17.33033	-16.86818	-17.33017	-0.5344422	0.6847486	-0.4845357
1	-17.07852	-16.61538	-17.07738	-0.5323255	0.3219416	-0.4826718
1	-16.82275	-16.35764	-16.81964	-0.5310556	0.5078876	-0.4808008
1	-16.5739	-16.10681	-16.56882	-0.5300921	0.5007887	-0.4789223
1	-16.32011	-15.86389	-16.3259	-0.5279024	0.4175879	-0.4770361
1	-16.06336	-15.60714	-16.06916	-0.5270265	0.7485466	-0.475142
1	-15.82044	-15.35137	-15.8134	-0.5249243	0.488966	-0.4732396
1	-15.5627	-15.11338	-15.57542	-0.5238587	0.461489	-0.4713286
1	-15.3257	-14.86453	-15.32657	-0.5226179	0.4871769	-0.4694087
1	-15.06993	-14.60285	-15.0649	-0.5200194	0.371979	-0.4674794
1	-14.82108	-14.35301	-14.81506	-0.5199757	0.5305594	-0.4655405
1	-14.56236	-14.11304	-14.5751	-0.5178444	0.4699935	-0.4635915
1	-14.30758	-13.84247	-14.30453	-0.5166619	0.4329189	-0.4616318
1	-14.05577	-13.59461	-14.05667	-0.5152313	0.5091715	-0.4596611
1	-13.80099	-13.34773	-13.80981	-0.5119321	0.4748564	-0.4576787
1	-13.54819	-13.08999	-13.55208	-0.5112606	0.2872216	-0.4556842
1	-13.31119	-12.85003	-13.31212	-0.5104723	0.4632432	-0.4536768
1	-13.03765	-12.58933	-13.05142	-0.5083556	0.3134489	-0.451656
1	-12.80559	-12.35035	-12.81246	-0.5069834	0.3898988	-0.4496209
1	-12.55476	-12.09163	-12.55374	-0.5047061	0.2849991	-0.4475709
1	-12.30196	-11.83586	-12.29799	-0.5022244	0.3111916	-0.445505
1	-12.04817	-11.588	-12.05012	-0.5015091	0.37446	-0.4434224
1	-11.79439	-11.33816	-11.80029	-0.5004727	0.3972546	-0.441322
1	-11.54159	-11.08536	-11.54749	-0.4988085	0.4445421	-0.4392029
1	-11.2957	-10.84046	-11.3026	-0.4971005	0.1454793	-0.4370638
1	-11.04685	-10.57877	-11.04092	-0.4946334	0.2851288	-0.4349034
1	-10.79503	-10.3398	-10.80195	-0.4950276	0.4928142	-0.4327205
1	-10.53631	-10.07909	-10.54126	-0.4916263	0.3372613	-0.4305135
1	-10.28055	-9.817407	-10.27957	-0.490692	0.2952857	-0.4282809
1	-10.03071	-9.570531	-10.03271	-0.4888672	0.498648	-0.426021
1	-9.790744	-9.322668	-9.784852	-0.4867067	0.3468967	-0.4237318
1	-9.528069	-9.064929	-9.527114	-0.4863856	0.5175845	-0.4214113
1	-9.285142	-8.840766	-9.30296	-0.4839039	0.4924457	-0.4190573
1	-9.034317	-8.579079	-9.041285	-0.4811887	0.4452115	-0.4166676
1	-8.78349	-8.30949	-8.7717	-0.480196	0.2393199	-0.4142392
1	-8.522791	-8.072489	-8.534702	-0.479145	0.3989898	-0.4117697
1	-8.27394	-7.816726	-8.278949	-0.4768677	0.5640066	-0.4092557
1	-8.025089	-7.559976	-8.022209	-0.4742108	0.3635798	-0.4066941
1	-7.767351	-7.312112	-7.774349	-0.4734517	0.2732021	-0.4040812
1	-7.520475	-7.061286	-7.52353	-0.4715832	0.3517375	-0.401413
1	-7.284462	-6.808486	-7.270737	-0.4698022	0.3786237	-0.3986854
1	-7.018823	-6.556673	-7.018933	-0.4675395	0.4068698	-0.3958936
1	-6.75911	-6.317697	-6.779963	-0.4661965	0.1923715	-0.3930327
1	-6.523097	-6.071808	-6.534084	-0.4636856	0.4614804	-0.3900971
1	-6.270297	-5.80617	-6.268452	-0.4623135	0.2716386	-0.387081
1	-6.009595	-5.547444	-6.009736	-0.4597149	0.439865	-0.3839778
1	-5.765683	-5.302544	-5.764845	-0.4572625	0.3969401	-0.3807805
1	-5.50597	-5.047768	-5.510074	-0.4561968	0.3770385	-0.3774815
1	-5.264031	-4.808792	-5.271108	-0.4537298	0.4251611	-0.3740723
1	-5.012218	-4.550066	-5.012388	-0.4522992	0.2073855	-0.3705442
1	-4.75843	-4.302203	-4.764532	-0.4503722	0.2267425	-0.3668869
1	-4.513529	-4.051378	-4.513714	-0.4484161	0.4560083	-0.3630901
1	-4.245916	-3.787714	-4.250059	-0.4464745	0.3847699	-0.3591419
1	-4.002003	-3.534914	-3.997267	-0.4442703	0.3121374	-0.3550298
1	-3.744265	-3.286063	-3.748426	-0.4419054	0.2303842	-0.3507399
1	-3.494426	-3.049062	-3.511439	-0.4385478	0.44772	-0.3462572
1	-3.240638	-2.77355	-3.235934	-0.4365333	0.3497158	-0.3415654
1	-2.993762	-2.543461	-3.005857	-0.4337159	0.3601219	-0.3366468
1	-2.749849	-2.287698	-2.750103	-0.4313802	0.4781565	-0.331482
1	-2.506924	-2.029959	-2.492372	-0.4293657	0.3011739	-0.3260501
1	-2.248198	-1.781109	-2.243532	-0.4267672	0.4490204	-0.3203281
1	-1.983547	-1.538183	-2.000622	-0.4229425	0.2478468	-0.3142911
1	-1.736671	-1.271557	-1.734005	-0.4207528	0.3786355	-0.3079121
1	-1.473995	-1.022707	-1.485169	-0.4170741	0.4965267	-0.3011614
1	-1.22317	-0.7629935	-1.225468	-0.4139647	0.2210526	-0.2940071
1	-0.9881441	-0.5240178	-0.9865085	-0.4099065	0.3236354	-0.2864142
1	-0.7304059	-0.2751671	-0.7376733	-0.4060526	0.3949133	-0.2783446
