
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
1	-55.13194	-54.58684	-55.12835	-0.897831	-0.897831	-0.6304055
1	-20.0904	-19.54826	-20.09059	-0.6927579	6.553896E-02	-0.6265107
1	-19.63713	-19.09895	-19.64128	-0.6897945	0.1145069	-0.6225948
1	-19.18683	-18.65654	-19.1989	-0.6858385	4.013025E-02	-0.6186569
1	-18.74147	-18.19143	-18.73379	-0.6831232	6.646498E-02	-0.6146958
1	-18.28919	-17.7431	-18.28548	-0.6802766	0.1114188	-0.6107106
1	-17.82902	-17.29379	-17.83618	-0.6767147	5.549756E-02	-0.6066998
1	-17.39056	-16.83658	-17.37898	-0.6732403	3.935362E-02	-0.6026623
1	-16.92545	-16.39911	-16.94153	-0.6699704	0.0792461	-0.5985963
1	-16.47713	-15.93795	-16.48038	-0.6659559	6.350996E-02	-0.5945002
1	-16.01991	-15.47283	-16.01528	-0.6632115	0.11276	-0.5903723
1	-15.56961	-15.02451	-15.56697	-0.6600437	9.837808E-02	-0.5862105
1	-15.11931	-14.5831	-15.12557	-0.6562336	0.1069916	-0.5820124
1	-14.66308	-14.12391	-14.66639	-0.6525987	0.1110445	-0.5777756
1	-14.21673	-13.67163	-14.21413	-0.6494456	0.11907	-0.5734973
1	-13.75162	-13.21146	-13.75397	-0.6455187	7.542047E-02	-0.5691745
1	-13.30626	-12.77399	-13.31652	-0.6419422	6.580774E-02	-0.5648035
1	-12.852	-12.31579	-12.85833	-0.6390809	0.1102433	-0.5603808
1	-12.39973	-11.86253	-12.40508	-0.6352708	7.985176E-02	-0.555902
1	-11.94942	-11.4063	-11.94887	-0.6310812	2.563999E-02	-0.5513624
1	-11.49024	-10.95699	-11.49957	-0.6278988	6.861815E-02	-0.5467567
1	-11.04586	-10.5136	-11.0562	-0.6236947	9.125499E-02	-0.5420792
1	-10.59358	-10.05342	-10.59604	-0.6194904	6.801587E-02	-0.5373231
1	-10.13538	-9.589293	-10.13193	-0.6157095	7.623621E-02	-0.5324811
1	-9.676194	-9.13998	-9.68263	-0.6119286	7.835144E-02	-0.5275453
1	-9.236754	-8.694616	-9.237282	-0.6080163	9.889826E-02	-0.5225065
1	-8.786454	-8.247277	-8.789956	-0.6046004	6.741164E-02	-0.5173545
1	-8.324302	-7.788088	-8.33079	-0.5990385	8.264907E-02	-0.5120779
1	-7.874989	-7.331862	-7.874581	-0.5944839	7.219508E-02	-0.5066641
1	-7.416787	-6.868723	-7.411457	-0.5908783	8.417135E-02	-0.5010988
1	-6.970436	-6.426322	-6.969077	-0.5857251	0.1048206	-0.4953661
1	-6.521122	-5.977009	-6.519781	-0.581229	4.804226E-02	-0.4892662
1	-6.063909	-5.527695	-6.070487	-0.5763825	0.1133821	-0.4828677
1	-5.61262	-5.06653	-5.609339	-0.5720323	0.1501193	-0.4762474
1	-5.161331	-4.63203	-5.174861	-0.5663682	9.056457E-02	-0.4693805
1	-4.712017	-4.176791	-4.719644	-0.5611712	8.156276E-02	-0.4622391
1	-4.251841	-3.712665	-4.25554	-0.5553759	0.1122758	-0.454792
1	-3.799564	-3.25545	-3.79835	-0.5495804	6.382104E-02	-0.4470043
1	-3.343338	-2.802187	-3.345112	-0.5431281	0.1505219	-0.4388366
1	-2.904887	-2.366698	-2.909648	-0.5367196	9.942797E-02	-0.4302454
1	-2.453598	-1.900597	-2.443577	-0.52926	8.719093E-02	-0.4211813
1	-1.986509	-1.454245	-1.997254	-0.5220632	9.750473E-02	-0.4115893
1	-1.531271	-0.9970317	-1.540074	-0.5136547	6.986237E-02	-0.4014075
1	-1.087882	-0.5447553	-1.087832	-0.5051148	0.1535216	-0.3905667
1	-0.6356056	-9.445406E-02	-0.6375706	-0.4952028	0.1893288	-0.3789894
1	-0.1853043	0.3528847	-0.1902744	-0.4845755	0.1343814	-0.3665884
1	0.276847	0.8091111	0.2659046	-0.4727072	0.1498737	-0.3532663
1	0.7291232	1.267312	0.7240534	-0.4596565	0.1329122	-0.3389135
1	1.1735	1.709713	1.166398	-0.445511	6.971535E-02	-0.3234075
1	1.623801	2.155077	1.611699	-0.4297306	0.1251933	-0.3066105
1	2.083977	2.614266	2.070816	-0.4118772	0.1521768	-0.2883684
1	2.533291	3.068517	2.524987	-0.3919071	0.1764393	-0.268508
1	2.985567	3.517831	2.974217	-0.3707692	0.1762017	-0.2468352
1	3.438831	3.972083	3.428371	-0.3465364	0.1840772	-0.2231325
1	3.896045	4.429296	3.885474	-0.3187856	0.1286429	-0.1971554
1	4.355234	4.881572	4.337626	-0.28794	0.1827478	-0.1686302
1	4.796647	5.329899	4.78582	-0.2546565	0.1843502	-0.1372496
1	5.243986	5.783163	5.238934	-0.2170957	0.1638719	-0.1026688
1	5.69725	6.231489	5.687091	-0.1748198	0.2959805	-6.450127E-02
1	6.152489	6.690678	6.146091	-0.1276537	0.3799121	-2.231315E-02
1	6.608715	7.139991	6.595192	-7.448755E-02	1.575627	2.438217E-02
1	7.051116	7.588318	7.04329	-1.727785E-02	7.881696	7.613067E-02
1	7.517218	8.037631	7.492344	4.743511E-02	2.86741	0.133545
1	7.960607	8.489907	7.94433	0.1199144	1.696208	0.1973123
1	8.412883	8.956009	8.410106	0.2014298	0.9332384	0.2682036
1	8.872071	9.399398	8.853143	0.2895435	0.8319957	0.3470841
1	9.305585	9.844763	9.298118	0.3868978	0.6940623	0.4349245
1	9.763786	10.29408	9.746993	0.4965436	0.7303	0.532814
1	10.21409	10.75524	10.20767	0.6190211	0.5713538	0.641975
1	10.67624	11.2085	10.66039	0.7538776	0.610128	0.7637783
1	11.11667	11.64597	11.09727	0.9011133	0.6728923	0.899763
1	11.57487	12.10713	11.55776	1.067677	0.6841727	1.051656
1	12.02912	12.56138	12.01127	1.252692	0.6313871	1.221394
1	12.48337	13.01465	12.46371	1.460043	0.7538633	1.411154
1	12.9317	13.461	12.90916	1.685874	0.6998179	1.623373
1	13.37212	13.90833	13.35552	1.929486	0.7144179	1.860792
1	13.8244	14.3537	13.79978	2.206046	0.852061	2.126483
1	14.27371	14.79808	14.24294	2.509882	0.7990942	2.423896
1	14.72895	15.25825	14.70177	2.847552	0.9000651	2.756904
1	15.1674	15.7046	15.14666	3.212065	1.023829	3.129851
1	15.61277	16.15392	15.59433	3.624021	0.965314	3.547617
1	16.068	16.58842	16.02698	4.08561	0.96964	4.015681
1	16.52423	17.04958	16.48609	4.600191	1.041007	4.540188
1	16.97355	17.49396	16.92825	5.151704	1.077622	5.128052
1	17.41002	17.93142	17.36334	5.747012	1.164082	5.787025
1	17.85045	18.38468	17.81394	6.411515	1.206007	6.525836
1	18.30766	18.83202	18.25832	7.152655	1.192652	7.354289
1	18.74611	19.27838	18.70144	7.960657	1.352544	8.283419
1	19.18555	19.70201	19.12163	8.822233	1.458015	9.32569
1	19.624	20.15824	19.57397	9.793585	1.300885	10.4952
1	20.07727	20.60459	20.01623	10.81589	1.612736	11.80808
1	20.52559	21.04403	20.45107	11.96665	1.322574	13.28327
1	20.96503	21.49631	20.89853	13.1688	1.258808	14.94646
