
 IV Data
=========
" " 


Scan Num	Measured Voltage (V)	Reference Voltage (V)	Corrected Voltage (V)	Current (mA)	Current Error (%)	Theoretical Current (mA)
1	-55.09837	-55.10329	-55.09575	-0.6531388	-0.6531388	-0.6284261
1	-50.07691	-50.09912	-50.09166	-0.6340154	0	-0.6259973
1	-49.58069	-49.59056	-49.58311	-0.6314608	0	-0.6235646
1	-49.06966	-49.09434	-49.08689	-0.6295264	0	-0.6211279
1	-48.5759	-48.58825	-48.58081	-0.6272273	0	-0.6186872
1	-48.06487	-48.08709	-48.07965	-0.6268259	0	-0.6162425
1	-47.58099	-47.57853	-47.5711	-0.6239793	0	-0.6137936
1	-47.08477	-47.09465	-47.08723	-0.6229573	0	-0.6113406
1	-46.55152	-46.57374	-46.56633	-0.6200377	0	-0.6088833
1	-46.0553	-46.07505	-46.06765	-0.6178846	0	-0.6064218
1	-45.55415	-45.57883	-45.57144	-0.6163154	0	-0.603956
1	-45.04311	-45.06533	-45.05795	-0.6146365	0	-0.6014858
1	-44.53455	-44.5617	-44.55432	-0.6129943	0	-0.5990111
1	-44.03339	-44.05314	-44.04577	-0.6096732	0	-0.596532
1	-43.54211	-43.56926	-43.5619	-0.6080674	0	-0.5940483
1	-43.03107	-43.06317	-43.05582	-0.6058777	0	-0.5915599
1	-42.53239	-42.5546	-42.54726	-0.6039799	0	-0.5890669
1	-42.02382	-42.04604	-42.0387	-0.6020823	0	-0.586569
1	-41.53007	-41.53995	-41.53262	-0.60044	0	-0.5840664
1	-41.03138	-41.05607	-41.04875	-0.5975569	0	-0.5815588
1	-40.52529	-40.53763	-40.53032	-0.5957322	0	-0.5790462
1	-40.03154	-40.03894	-40.03164	-0.5935059	0	-0.5765285
1	-39.52791	-39.53778	-39.53049	-0.5916812	0	-0.5740057
1	-39.02675	-39.03416	-39.02687	-0.5890535	0	-0.5714777
1	-38.52066	-38.52559	-38.51832	-0.5869002	0	-0.5689442
1	-38.00716	-38.02197	-38.0147	-0.5847471	0	-0.5664052
1	-37.51587	-37.52081	-37.51355	-0.5829952	0	-0.5638608
1	-37.02459	-37.02459	-37.01733	-0.5813895	0	-0.5613107
1	-36.51603	-36.51849	-36.51125	-0.5786524	0	-0.5587548
1	-35.99512	-36.01487	-36.00764	-0.5762802	0	-0.5561931
1	-35.4989	-35.52112	-35.51389	-0.5747475	0	-0.5536253
1	-34.97799	-35.01255	-35.00534	-0.5723022	0	-0.5510513
1	-34.48918	-34.49411	-34.48691	-0.5690542	0	-0.5484711
1	-33.98308	-34.00036	-33.99316	-0.567266	0	-0.5458844
1	-33.4918	-33.51155	-33.50436	-0.5657331	0	-0.5432912
1	-32.99558	-33.00545	-32.99827	-0.5634704	0	-0.5406912
1	-32.47467	-32.49936	-32.49219	-0.5607698	0	-0.5380843
1	-31.97598	-31.98586	-31.97869	-0.5589085	0	-0.5354703
