
 Plasma Data
=============


Scan Number	Distance	Vf	Vf Std. Dev.	Vp	Vp Std. Dev.	kTe	kTe Std. Dev.	Ne	Ne Std. Dev.	
1	230	6.58523	0	25.7782	0	5.786599	0	1.7446E+10	0	
2	234.96	7.512279	0	27.26985	0	5.929511	0	2.238599E+10	0	
3	240	8.217587	0	28.27129	0	5.972075	0	2.619589E+10	0	
4	244.96	8.740046	0	28.73833	0	5.947582	0	2.86222E+10	0	
5	250	0	0	0	0	0	0	0	0	
6	254.96	9.570738	0	29.73423	0	5.928179	0	3.327995E+10	0	
7	260	9.877212	0	30.23613	0	5.958754	0	3.52139E+10	0	
8	264.96	10.10373	0	30.74251	0	5.973987	0	3.771641E+10	0	
9	270	10.29964	0	30.75975	0	5.920952	0	3.794474E+10	0	
10	274.96	10.44151	0	31.24701	0	5.992673	0	3.951169E+10	0	
11	280	10.53113	0	31.24965	0	5.973978	0	3.93711E+10	0	
12	284.96	10.54394	0	31.22259	0	5.932114	0	3.938691E+10	0	
13	290	0	0	0	0	0	0	0	0	
14	294.96	10.41933	0	31.25343	0	6.0033	0	3.775485E+10	0	
15	300	10.16909	0	31.24932	0	6.051645	0	3.663391E+10	0	
