Ar
P	n_e0
0.5	232455675157.63174
0.6938775510204082	276281550035.19836
0.8877551020408163	315757219655.33234
1.0816326530612246	352383453061.08746
1.2755102040816326	386966348168.81665
1.4693877551020407	419994263704.40906
1.663265306122449	451787098184.05975
1.8571428571428572	482566394489.4021
2.0510204081632653	512492190819.2822
2.2448979591836733	541684019203.8206
2.4387755102040813	570233623873.0094
2.63265306122449	598213043922.6246
2.826530612244898	625679954547.8934
3.020408163265306	652681313230.744
3.2142857142857144	679255918273.823
3.4081632653061225	705436247119.8921
3.6020408163265305	731249804667.878
3.7959183673469385	756720130245.4891
3.9897959183673466	781867561802.4287
4.183673469387755	806709824212.318
4.377551020408163	831262488023.5577
4.571428571428571	855539331366.8484
4.76530612244898	879552628490.8223
4.959183673469387	903313382029.1116
5.153061224489796	926831511633.0137
5.346938775510204	950116008421.0695
5.540816326530612	973175062398.6741
5.73469387755102	996016168318.1656
5.928571428571429	1018646214204.9872
6.122448979591836	1041071555844.01
6.316326530612245	1063298079813.8856
6.5102040816326525	1085331257121.1774
6.704081632653061	1107176189070.4565
6.8979591836734695	1128837646685.4849
7.091836734693877	1150320104744.943
7.285714285714286	1171627771297.8225
7.479591836734693	1192764613366.5369
7.673469387755102	1213734379419.4712
7.86734693877551	1234540619095.2998
8.061224489795919	1255186700578.1597
8.255102040816325	1275675825957.899
8.448979591836736	1296011044855.0664
8.642857142857142	1316195266546.1116
8.83673469387755	1336231270787.7627
9.03061224489796	1356121717509.5193
9.224489795918368	1375869155517.4854
9.418367346938775	1395476030333.0366
9.612244897959183	1414944691270.839
9.806122448979592	1434277397847.0728
10.0	1453476325595.7651
