Ar
P_abs	n_e0
30315.22725559911	2.5234622393019933e+17
35883.33022091324	2.986955303663584e+17
41451.43318622736	3.450448368025175e+17
47019.536151541484	3.9139414323867654e+17
52587.6391168556	4.377434496748355e+17
58155.74208216972	4.840927561109946e+17
63723.84504748385	5.3044206254715366e+17
69291.94801279798	5.767913689833128e+17
74860.05097811209	6.231406754194717e+17
80428.15394342622	6.69489981855631e+17
85996.25690874034	7.1583928829179e+17
91564.35987405445	7.621885947279489e+17
97132.46283936859	8.08537901164108e+17
102700.56580468272	8.548872076002671e+17
108268.66876999683	9.012365140364262e+17
113836.77173531095	9.475858204725852e+17
119404.87470062508	9.939351269087443e+17
124972.97766593921	1.0402844333449034e+18
130541.08063125332	1.0866337397810624e+18
136109.18359656745	1.1329830462172215e+18
141677.28656188157	1.1793323526533806e+18
147245.38952719572	1.2256816590895398e+18
152813.49249250983	1.2720309655256988e+18
158381.59545782395	1.3183802719618578e+18
163949.69842313806	1.3647295783980168e+18
169517.8013884522	1.411078884834176e+18
175085.90435376632	1.457428191270335e+18
180654.00731908044	1.503777497706494e+18
186222.11028439456	1.5501268041426532e+18
191790.2132497087	1.5964761105788124e+18
197358.3162150228	1.6428254170149711e+18
202926.4191803369	1.68917472345113e+18
208494.52214565105	1.7355240298872893e+18
214062.6251109652	1.7818733363234486e+18
219630.7280762793	1.8282226427596076e+18
225198.8310415934	1.8745719491957663e+18
230766.93400690754	1.9209212556319255e+18
236335.0369722217	1.9672705620680847e+18
241903.13993753577	2.0136198685042437e+18
247471.2429028499	2.0599691749404027e+18
253039.34586816403	2.106318481376562e+18
258607.44883347818	2.1526677878127212e+18
264175.5517987923	2.1990170942488804e+18
269743.6547641064	2.2453664006850388e+18
275311.75772942055	2.2917157071211983e+18
280879.86069473467	2.3380650135573576e+18
286447.9636600487	2.384414319993516e+18
292016.0666253629	2.4307636264296755e+18
297584.169590677	2.4771129328658345e+18
303152.27255599113	2.5234622393019935e+18
