He
P_abs	n_e0
30315.22725559911	1.1668924342414184e+16
35883.33022091324	1.3812196160408628e+16
41451.43318622736	1.5955467978403072e+16
47019.536151541484	1.809873979639751e+16
52587.6391168556	2.024201161439195e+16
58155.74208216972	2.2385283432386396e+16
63723.84504748385	2.4528555250380836e+16
69291.94801279798	2.6671827068375284e+16
74860.05097811209	2.8815098886369724e+16
80428.15394342622	3.095837070436417e+16
85996.25690874034	3.310164252235861e+16
91564.35987405445	3.524491434035305e+16
97132.46283936859	3.7388186158347496e+16
102700.56580468272	3.953145797634194e+16
108268.66876999683	4.1674729794336376e+16
113836.77173531095	4.381800161233082e+16
119404.87470062508	4.596127343032526e+16
124972.97766593921	4.8104545248319704e+16
130541.08063125332	5.024781706631414e+16
136109.18359656745	5.239108888430859e+16
141677.28656188157	5.453436070230303e+16
147245.38952719572	5.667763252029748e+16
152813.49249250983	5.882090433829192e+16
158381.59545782395	6.096417615628636e+16
163949.69842313806	6.31074479742808e+16
169517.8013884522	6.525071979227525e+16
175085.90435376632	6.739399161026969e+16
180654.00731908044	6.953726342826413e+16
186222.11028439456	7.168053524625857e+16
191790.2132497087	7.382380706425302e+16
197358.3162150228	7.596707888224746e+16
202926.4191803369	7.811035070024189e+16
208494.52214565105	8.025362251823634e+16
214062.6251109652	8.239689433623078e+16
219630.7280762793	8.454016615422523e+16
225198.8310415934	8.668343797221966e+16
230766.93400690754	8.882670979021411e+16
236335.0369722217	9.096998160820856e+16
241903.13993753577	9.311325342620299e+16
247471.2429028499	9.525652524419742e+16
253039.34586816403	9.739979706219187e+16
258607.44883347818	9.954306888018634e+16
264175.5517987923	1.0168634069818078e+17
269743.6547641064	1.038296125161752e+17
275311.75772942055	1.0597288433416966e+17
280879.86069473467	1.081161561521641e+17
286447.9636600487	1.1025942797015851e+17
292016.0666253629	1.1240269978815298e+17
297584.169590677	1.1454597160614742e+17
303152.27255599113	1.1668924342414186e+17
