Ne
P_abs	n_e0
30315.22725559911	2.9063285989309344e+16
35883.33022091324	3.4401440558774332e+16
41451.43318622736	3.973959512823931e+16
47019.536151541484	4.5077749697704296e+16
52587.6391168556	5.041590426716927e+16
58155.74208216972	5.575405883663426e+16
63723.84504748385	6.109221340609923e+16
69291.94801279798	6.643036797556422e+16
74860.05097811209	7.17685225450292e+16
80428.15394342622	7.710667711449419e+16
85996.25690874034	8.244483168395917e+16
91564.35987405445	8.778298625342414e+16
97132.46283936859	9.312114082288914e+16
102700.56580468272	9.845929539235411e+16
108268.66876999683	1.0379744996181909e+17
113836.77173531095	1.0913560453128406e+17
119404.87470062508	1.1447375910074906e+17
124972.97766593921	1.1981191367021405e+17
130541.08063125332	1.2515006823967902e+17
136109.18359656745	1.3048822280914402e+17
141677.28656188157	1.35826377378609e+17
147245.38952719572	1.4116453194807398e+17
152813.49249250983	1.4650268651753898e+17
158381.59545782395	1.5184084108700394e+17
163949.69842313806	1.5717899565646893e+17
169517.8013884522	1.6251715022593392e+17
175085.90435376632	1.6785530479539888e+17
180654.00731908044	1.7319345936486387e+17
186222.11028439456	1.7853161393432883e+17
191790.2132497087	1.8386976850379386e+17
197358.3162150228	1.8920792307325878e+17
202926.4191803369	1.9454607764272378e+17
208494.52214565105	1.9988423221218877e+17
214062.6251109652	2.052223867816538e+17
219630.7280762793	2.1056054135111875e+17
225198.8310415934	2.158986959205837e+17
230766.93400690754	2.212368504900487e+17
236335.0369722217	2.265750050595137e+17
241903.13993753577	2.3191315962897866e+17
247471.2429028499	2.3725131419844362e+17
253039.34586816403	2.4258946876790864e+17
258607.44883347818	2.4792762333737363e+17
264175.5517987923	2.5326577790683862e+17
269743.6547641064	2.5860393247630355e+17
275311.75772942055	2.6394208704576858e+17
280879.86069473467	2.6928024161523357e+17
286447.9636600487	2.746183961846985e+17
292016.0666253629	2.7995655075416352e+17
297584.169590677	2.8529470532362848e+17
303152.27255599113	2.9063285989309344e+17
